frame_idx,target_id,x1,y1,x2,y2,score,lost_frames,status,text_prompt
0,0,1551,446,1559,451,0.72168,0,tracked,soccer ball
1,0,1551,445,1559,451,0.72168,0,tracked,soccer ball
2,0,1544,445,1552,451,0.72168,0,tracked,soccer ball
3,0,1537,445,1544,450,0.72168,0,tracked,soccer ball
4,0,,,,,,1,lost,soccer ball
5,0,,,,,,2,lost,soccer ball
6,0,,,,,,3,lost,soccer ball
7,0,820,247,825,250,0.72168,0,tracked,soccer ball
8,0,1123,343,1129,347,0.72168,0,tracked,soccer ball
9,0,1264,390,1271,396,0.72168,0,tracked,soccer ball
10,0,1325,414,1332,420,0.72168,0,tracked,soccer ball
11,0,1345,426,1352,433,0.72168,0,tracked,soccer ball
12,0,1345,433,1352,440,0.72168,0,tracked,soccer ball
13,0,1334,437,1342,444,0.72168,0,tracked,soccer ball
14,0,1320,440,1329,447,0.72168,0,tracked,soccer ball
15,0,1304,442,1313,449,0.72168,0,tracked,soccer ball
16,0,1284,445,1292,451,0.72168,0,tracked,soccer ball
17,0,1266,447,1273,453,0.72168,0,tracked,soccer ball
18,0,1251,451,1259,457,0.72168,0,tracked,soccer ball
19,0,1235,453,1244,459,0.72168,0,tracked,soccer ball
20,0,1219,454,1227,461,0.72168,0,tracked,soccer ball
21,0,1207,454,1215,461,0.72168,0,tracked,soccer ball
22,0,1196,455,1204,461,0.72168,0,tracked,soccer ball
23,0,1183,455,1191,462,0.72168,0,tracked,soccer ball
24,0,1171,455,1179,462,0.72168,0,tracked,soccer ball
25,0,1162,456,1170,463,0.72168,0,tracked,soccer ball
26,0,1152,457,1161,464,0.72168,0,tracked,soccer ball
27,0,1142,459,1151,466,0.72168,0,tracked,soccer ball
28,0,1132,461,1141,467,0.72168,0,tracked,soccer ball
29,0,1123,462,1132,468,0.72168,0,tracked,soccer ball
30,0,1115,462,1124,469,0.72168,0,tracked,soccer ball
31,0,1107,462,1116,470,0.72168,0,tracked,soccer ball
32,0,1100,462,1109,470,0.72168,0,tracked,soccer ball
33,0,1093,462,1102,471,0.72168,0,tracked,soccer ball
34,0,1086,463,1095,472,0.72168,0,tracked,soccer ball
35,0,1079,464,1088,473,0.72168,0,tracked,soccer ball
36,0,1073,466,1082,474,0.72168,0,tracked,soccer ball
37,0,1068,467,1077,475,0.72168,0,tracked,soccer ball
38,0,1062,467,1071,475,0.72168,0,tracked,soccer ball
39,0,1056,467,1065,476,0.72168,0,tracked,soccer ball
40,0,1052,467,1060,476,0.72168,0,tracked,soccer ball
